
* 若有误伤，接受背调，还你清白
﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍

王勇 ｛X6+｝
王志刚 ｛X5+｝
王沪宁 ｛HI6+｝
王建军 ｛X5+｝
王常松 ｛HI5+｝
孔昌生 ｛V+｝
叶冬松 ｛X5+｝
朱生岭 ｛X5+｝
朱国贤 ｛X9+｝
多杰热旦 ｛V+｝
庄国泰 ｛V+｝
刘伟 ｛V+｝
刘晓凯 ｛HI6+｝
刘家义 ｛HI7+｝
阮成发 ｛X5+｝
李江 ｛V+｝
李荣灿 ｛V+｝
吴社洲 ｛X5+｝
张义珍 ｛HI6+｝｛X5+｝
张裔炯 ｛V+｝
陈旭 ｛HI7+｝
苗圩 ｛HI5+｝｛V+｝
林克庆 ｛V+｝
欧阳坚 ｛V+｝
周强 ｛V+｝
赵永清 ｛V+｝
胡春华 ｛HI7+｝
咸辉 ｛X7+｝
徐令义 ｛V+｝
徐启方 ｛V+｝
唐良智 ｛V+｝
崔波 ｛V+｝
崔少鹏 ｛HI5+｝
蓝绍敏 ｛V+｝
于干千 ｛V+｝
马传喜 ｛X5+｝
王红玲 ｛V+｝
刘家强 ｛HI5+｝
孙继业 ｛X5+｝
杜洪印 ｛V+｝
何报翔 ｛HI6+｝
张月仙 ｛HI5+｝
陈马林 ｛HI6+｝｛V+｝
欧阳泽华 ｛V+｝
姚卫海 ｛X5+｝
程萍 ｛HI6+｝
温雪琼 ｛HI5+｝
冉霞 ｛V+｝
刘中民 ｛V+｝
刘旭光 ｛V+｝
江智涛 ｛X6+｝
许亚南 ｛V+｝
李正国 ｛V+｝
张来斌 ｛V+｝
陆桂华 ｛V+｝
范九伦 ｛V+｝
赵吉 ｛V+｝
胡刚 ｛HI5+｝
柳锋波 ｛V+｝
崔亚丽 ｛V+｝
康耀红 ｛V+｝
梁丽萍 ｛HI5+｝
辜清 ｛HI7+｝｛V+｝
蔡光洁 ｛X5+｝
霍金花 ｛HI6+｝
王凌 ｛HI5+｝
韦建刚 ｛HI5+｝
方洁 ｛V+｝
方传龙 ｛V+｝
付诚 ｛X5+｝
白重恩 ｛X7+｝
刘炳江 ｛HI5+｝｛V+｝
许玲 ｛HI6+｝
孙东生 ｛V+｝
苏华 ｛V+｝
苏莉 ｛HI5+｝
李心 ｛X6+｝
李瑶 ｛HI5+｝｛V+｝
李文海 ｛V+｝
李俊林 ｛HI5+｝
杨洪明 ｛V+｝
吴志明 ｛HI5+｝
宋青 ｛HI6+｝
陈婷婷 ｛X5+｝
范社岭 ｛HI5+｝
秦博勇 ｛V+｝
谢商华 ｛V+｝
赖明勇 ｛HI5+｝
卢天锡 ｛HI5+｝｛V+｝
包安明 ｛V+｝
朱永新 ｛HI5+｝
许唯临 ｛V+｝
孙俊青 ｛X5+｝
李玛琳 ｛V+｝
杨建德 ｛V+｝
杨静华 ｛V+｝
张显友 ｛X6+｝
张颐武 ｛X5+｝
陈贵云 ｛V+｝
尚勋武 ｛X6+｝
罗永章 ｛V+｝
赵长龙 ｛V+｝
黄震 ｛X5+｝
鲁修禄 ｛V+｝
黎晓英 ｛V+｝
