
* 若有误伤，接受背调，还你清白
﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍ ﹍

钟睒睒|No.1/财富：5300亿人民币｛HI5+｝
张一鸣|No.2/财富：4700亿人民币
马化腾|No.3/财富：4650亿人民币
曾毓群|No.4/财富：3300亿人民币
雷军|No.5/财富：3260亿人民币｛V+｝
丁磊|No.6/财富：3200亿人民币
黄峥|No.7/财富：3140亿人民币｛V+｝
何享健|No.8/财富：2780亿人民币
李嘉诚|No.9/财富：2350亿人民币
李泽钜|No.9/财富：2350亿人民币
李书福|No.10/财富：2250亿人民币｛X5+｝
马云|No.11/财富：2100亿人民币
张志东|No.12/财富：1930亿人民币｛HI6+｝｛V+｝
吕向阳|No.13/财富：1900亿人民币｛V+｝
张长虹|No.13/财富：1900亿人民币
赵长鹏|No.13/财富：1900亿人民币
陈建华|No.13/财富：1900亿人民币｛HI5+｝
范红卫|No.13/财富：1900亿人民币
秦英林|No.16/财富：1870亿人民币
钱瑛|No.16/财富：1870亿人民币
王宁|No.17/财富：1820亿人民币
王传福|No.18/财富：1800亿人民币
陈天石|No.18/财富：1800亿人民币
郑家纯|No.20/财富：1750亿人民币｛V+｝
张刚|No.21/财富：1600亿人民币｛V+｝
严昊|No.22/财富：1550亿人民币
黄世霖|No.23/财富：1500亿人民币
李蔡美灵|No.24/财富：1450亿人民币
钟慧娟|No.25/财富：1410亿人民币｛X6+｝
孙远|No.25/财富：1410亿人民币｛HI5+｝｛X6+｝
王卫|No.26/财富：1300亿人民币
刘永行|No.27/财富：1280亿人民币
刘相宇|No.27/财富：1280亿人民币
林斌|No.28/财富：1230亿人民币
吕耀东|No.29/财富：1200亿人民币｛HI6+｝
魏建军|No.30/财富：1150亿人民币｛X7+｝
韩雪娟|No.30/财富：1150亿人民币
朱义|No.30/财富：1150亿人民币｛HI6+｝｛V+｝
周群飞|No.32/财富：1110亿人民币｛V+｝
郑俊龙|No.32/财富：1110亿人民币
汪滔|No.33/财富：1100亿人民币
其实|No.34/财富：1090亿人民币｛V+｝
党彦宝|No.35/财富：1050亿人民币
吴光正|No.35/财富：1050亿人民币
郭台铭|No.35/财富：1050亿人民币
李西廷|No.38/财富：1000亿人民币｛V+｝
孙飘扬|No.38/财富：1000亿人民币
孙大卫|No.38/财富：1000亿人民币
杜纪川|No.38/财富：1000亿人民币｛X6+｝
庞康|No.42/财富：985亿人民币｛V+｝
岑均达|No.43/财富：975亿人民币
李家诚|No.44/财富：970亿人民币
李家杰|No.44/财富：970亿人民币
于泳|No.46/财富：950亿人民币
李泽楷|No.46/财富：950亿人民币
林立|No.48/财富：940亿人民币
刘銮雄|No.49/财富：920亿人民币｛V+｝｛X5+｝
林木勤|No.50/财富：910亿人民币
林煜鹏|No.50/财富：910亿人民币
王兴|No.51/财富：875亿人民币｛X7+｝
李小冬|No.51/财富：875亿人民币
宗馥莉|No.51/财富：875亿人民币
汪立平|No.54/财富：860亿人民币
王来春|No.55/财富：855亿人民币｛HI5+｝｛X5+｝
王来胜|No.56/财富：845亿人民币｛X5+｝
王雅媛|No.56/财富：845亿人民币
邝肖卿|No.57/财富：830亿人民币｛HI5+｝｛V+｝
蔡崇信|No.57/财富：830亿人民币
谢炳|No.59/财富：815亿人民币
谢承润|No.59/财富：815亿人民币
蔡浩宇|No.60/财富：810亿人民币
刘永好|No.61/财富：790亿人民币｛HI5+｝
刘汉元|No.61/财富：790亿人民币
管亚梅|No.61/财富：790亿人民币｛V+｝
易峥|No.63/财富：780亿人民币
裴振华|No.65/财富：765亿人民币
容建芬|No.65/财富：765亿人民币
李华|No.66/财富：750亿人民币
徐航|No.67/财富：735亿人民币｛HI5+｝｛V+｝
林百里|No.68/财富：730亿人民币
张国华|No.69/财富：725亿人民币
梁稳根|No.70/财富：710亿人民币
梁冶中|No.70/财富：710亿人民币
曾芳勤|No.71/财富：695亿人民币
徐高明|No.71/财富：695亿人民币
徐东波|No.71/财富：695亿人民币
王伟修|No.73/财富：680亿人民币｛V+｝
王晓东|No.73/财富：680亿人民币
虞仁荣|No.73/财富：680亿人民币｛HI5+｝
陈天桥|No.73/财富：680亿人民币
雒芊芊|No.73/财富：680亿人民币
龚虹嘉|No.76/财富：675亿人民币
陈春梅|No.76/财富：675亿人民币
曹仁贤|No.76/财富：675亿人民币
苏蕾|No.76/财富：675亿人民币
王玉锁|No.78/财富：670亿人民币｛X5+｝
赵宝菊|No.78/财富：670亿人民币
陈东升|No.78/财富：670亿人民币｛HI5+｝
邹支农|No.80/财富：665亿人民币｛HI6+｝
陈涛|No.81/财富：650亿人民币
刘春兰|No.81/财富：650亿人民币
严彬|No.81/财富：650亿人民币
朱保国|No.81/财富：650亿人民币
邬建树|No.81/财富：650亿人民币｛V+｝
李平|No.85/财富：630亿人民币
项光达|No.85/财富：630亿人民币
张聪渊|No.87/财富：625亿人民币｛V+｝
陈邦|No.88/财富：610亿人民币
张勇|No.89/财富：605亿人民币
舒萍|No.89/财富：605亿人民币｛V+｝
张红超|No.90/财富：600亿人民币
张红甫|No.90/财富：600亿人民币
张红霞|No.90/财富：600亿人民币｛HI5+｝｛V+｝
李水荣|No.90/财富：600亿人民币
李奇斌|No.90/财富：600亿人民币
齐燕|No.90/财富：600亿人民币
汪俊林|No.95/财富：595亿人民币｛V+｝
张艳红|No.96/财富：585亿人民币｛V+｝
刘强东|No.97/财富：580亿人民币
章泽天|No.97/财富：580亿人民币
李彦宏|No.98/财富：575亿人民币
马东敏|No.98/财富：575亿人民币｛V+｝
杜双华|No.99/财富：570亿人民币｛HI5+｝
吴亚军|No.99/财富：570亿人民币
严昕|No.101/财富：550亿人民币
郭金树|No.101/财富：550亿人民币
胡凯军|No.103/财富：540亿人民币
史玉柱|No.103/财富：540亿人民币
史静|No.103/财富：540亿人民币｛HI5+｝
许世辉|No.105/财富：530亿人民币
刘金成|No.106/财富：525亿人民币
骆锦红|No.106/财富：525亿人民币
方威|No.106/财富：525亿人民币
李华|No.108/财富：520亿人民币｛V+｝
苏海文|No.109/财富：515亿人民币
李革|No.109/财富：515亿人民币
李天颖|No.109/财富：515亿人民币
丁世忠|No.112/财富：500亿人民币
罗立国|No.112/财富：500亿人民币
何小鹏|No.114/财富：480亿人民币｛HI7+｝
丁世家|No.115/财富：475亿人民币｛HI5+｝
蔡明兴|No.115/财富：475亿人民币
蔡衍明|No.115/财富：475亿人民币
陈丽华|No.118/财富：470亿人民币
徐浩宇|No.118/财富：470亿人民币｛V+｝
鲁伟鼎|No.120/财富：460亿人民币
蔡宏图|No.121/财富：455亿人民币
黄楚龙|No.122/财富：450亿人民币
陈贤哲|No.122/财富：450亿人民币
张虔生|No.122/财富：450亿人民币
张忠谋|No.122/财富：450亿人民币
刘伟|No.126/财富：445亿人民币
谢青|No.126/财富：445亿人民币
蔡明忠|No.126/财富：445亿人民币
米高·嘉道理|No.126/财富：445亿人民币
区一佳|No.130/财富：440亿人民币
袁富根|No.130/财富：440亿人民币
宋建波|No.130/财富：440亿人民币｛X5+｝
王旭宁|No.133/财富：435亿人民币｛V+｝
霍斯特·帕德威尔|No.133/财富：435亿人民币
周超男|No.133/财富：435亿人民币
蔡政达|No.133/财富：435亿人民币｛HI5+｝
高德康|No.137/财富：430亿人民币
罗宇皓|No.138/财富：425亿人民币｛X6+｝
叶刚|No.138/财富：425亿人民币｛HI5+｝
励民|No.140/财富：420亿人民币
蒋仁生|No.140/财富：420亿人民币｛HI5+｝
朱艳|No.140/财富：420亿人民币
朱孟依|No.143/财富：415亿人民币
杨绍鹏|No.144/财富：410亿人民币
郭炳联|No.144/财富：410亿人民币
谢华|No.146/财富：400亿人民币
郑崇华|No.146/财富：400亿人民币｛X5+｝
赖海民|No.146/财富：400亿人民币
李想|No.146/财富：400亿人民币
许仰天|No.146/财富：400亿人民币
沈南鹏|No.146/财富：400亿人民币
郭梅兰|No.146/财富：400亿人民币
阮立平|No.146/财富：400亿人民币
阮学平|No.146/财富：400亿人民币
陈志平|No.155/财富：395亿人民币
郭基煇|No.156/财富：390亿人民币｛V+｝
刘靖康|No.157/财富：385亿人民币
潘瑶|No.157/财富：385亿人民币
阳萌|No.157/财富：385亿人民币
贺丽|No.157/财富：385亿人民币
修涞贵|No.157/财富：385亿人民币｛V+｝
李艳华|No.157/财富：385亿人民币｛V+｝
陈发树|No.160/财富：380亿人民币
叶国富|No.160/财富：380亿人民币
杨云云|No.160/财富：380亿人民币
钱东奇|No.162/财富：375亿人民币
吴向东|No.163/财富：370亿人民币
姜滨|No.163/财富：370亿人民币
胡双美|No.163/财富：370亿人民币
江南春|No.163/财富：370亿人民币｛V+｝
沈国军|No.163/财富：370亿人民币
郑坚江|No.167/财富：365亿人民币
沈彬|No.168/财富：360亿人民币｛V+｝｛X6+｝
何超琼|No.168/财富：360亿人民币
郭广昌|No.168/财富：360亿人民币｛X5+｝
张兴海|No.168/财富：360亿人民币｛HI5+｝｛V+｝
颜敏|No.168/财富：360亿人民币
黄如论|No.172/财富：355亿人民币｛V+｝
夏佐全|No.172/财富：355亿人民币｛HI6+｝
陈志列|No.172/财富：355亿人民币
王蓉|No.172/财富：355亿人民币
陈金霞|No.175/财富：350亿人民币｛HI5+｝
黄立|No.176/财富：345亿人民币｛V+｝
马建荣|No.176/财富：345亿人民币
张道才|No.176/财富：345亿人民币｛X5+｝
林张素娥|No.179/财富：340亿人民币
陆地|No.179/财富：340亿人民币
薛敏|No.179/财富：340亿人民币
程雪|No.179/财富：340亿人民币
洪锋|No.179/财富：340亿人民币
张和君|No.179/财富：340亿人民币｛HI6+｝｛V+｝
黎万强|No.185/财富：335亿人民币｛HI6+｝
宿华|No.185/财富：335亿人民币｛V+｝
施永宏|No.185/财富：335亿人民币
李海燕|No.185/财富：335亿人民币
黄江吉|No.185/财富：335亿人民币｛V+｝｛X5+｝
仇建平|No.185/财富：335亿人民币
王玲玲|No.185/财富：335亿人民币
张志祥|No.185/财富：335亿人民币
严建亚|No.191/财富：330亿人民币
范代娣|No.191/财富：330亿人民币
刘炽平|No.191/财富：330亿人民币｛HI6+｝
曹德旺|No.191/财富：330亿人民币
张茵|No.191/财富：330亿人民币｛X5+｝
蔡东晨|No.191/财富：330亿人民币｛HI5+｝｛V+｝
杜江涛|No.196/财富：325亿人民币｛HI5+｝
郝虹|No.196/财富：325亿人民币
蔡奎|No.196/财富：325亿人民币
蔡明介|No.196/财富：325亿人民币｛HI5+｝｛V+｝
尤小平|No.196/财富：325亿人民币
张雷|No.200/财富：320亿人民币
王燕清|No.200/财富：320亿人民币｛HI6+｝
辜仲立|No.200/财富：320亿人民币
杨建文|No.200/财富：320亿人民币｛V+｝
赖梅松|No.200/财富：320亿人民币｛X5+｝
杨惠妍|No.205/财富：315亿人民币
